domain,lat1,lon1,dx,stdlon,truelat1,truelat2,knowni,knownj
d02,47.074219,-134.496964,4000.0000000000,-120.879,55.157,55.157,1.0,1.0
d03,53.425213,-129.464554,1333.3333333333,-120.879,55.157,55.157,1.0,1.0
d04,53.309711,-123.702377,1333.3333333333,-120.879,55.157,55.157,1.0,1.0
d05,48.763447,-118.648529,1333.3333333333,-120.879,55.157,55.157,1.0,1.0
d06,48.785229,-123.697021,1333.3333333333,-120.879,55.157,55.157,1.0,1.0
