tile_id,i,j,lon,lat
21,201.0000,2.0000,-127.2550,47.1974
21,210.5000,2.0000,-126.7505,47.2073
21,201.0000,10.5000,-127.2690,47.5037
21,210.5000,10.5000,-126.7622,47.5136
22,210.5000,2.0000,-126.7505,47.2073
22,210.5000,10.5000,-126.7622,47.5136
22,220.5000,2.0000,-126.2205,47.2149
22,220.5000,10.5000,-126.2285,47.5213
23,220.5000,2.0000,-126.2205,47.2149
23,220.5000,10.5000,-126.2285,47.5213
23,230.5000,2.0000,-125.6895,47.2199
23,230.5000,10.5000,-125.6943,47.5263
24,230.5000,2.0000,-125.6895,47.2199
24,230.5000,10.5000,-125.6943,47.5263
24,240.5000,2.0000,-125.1595,47.2220
24,240.5000,10.5000,-125.1605,47.5285
25,240.5000,2.0000,-125.1595,47.2220
25,240.5000,10.5000,-125.1605,47.5285
25,250.5000,2.0000,-124.6285,47.2215
25,250.5000,10.5000,-124.6262,47.5280
26,250.5000,2.0000,-124.6285,47.2215
26,250.5000,10.5000,-124.6262,47.5280
26,260.5000,2.0000,-124.0980,47.2182
26,260.5000,10.5000,-124.0920,47.5246
27,260.5000,2.0000,-124.0980,47.2182
27,260.5000,10.5000,-124.0920,47.5246
27,270.5000,2.0000,-123.5675,47.2122
27,270.5000,10.5000,-123.5580,47.5186
28,270.5000,2.0000,-123.5675,47.2122
28,270.5000,10.5000,-123.5580,47.5186
28,280.5000,2.0000,-123.0375,47.2034
28,280.5000,10.5000,-123.0243,47.5097
29,280.5000,2.0000,-123.0375,47.2034
29,280.5000,10.5000,-123.0243,47.5097
29,290.5000,2.0000,-122.5075,47.1919
29,290.5000,10.5000,-122.4907,47.4981
30,290.5000,2.0000,-122.5075,47.1919
30,290.5000,10.5000,-122.4907,47.4981
30,300.5000,2.0000,-121.9775,47.1776
30,300.5000,10.5000,-121.9575,47.4837
31,300.5000,2.0000,-121.9775,47.1776
31,300.5000,10.5000,-121.9575,47.4837
31,310.0000,2.0000,-121.4740,47.1616
31,310.3333,10.6667,-121.4333,47.4730
69,201.0000,10.5000,-127.2690,47.5037
69,210.5000,10.5000,-126.7622,47.5136
69,201.0000,20.5000,-127.2870,47.8642
69,210.5000,20.5000,-126.7758,47.8742
70,210.5000,10.5000,-126.7622,47.5136
70,220.5000,10.5000,-126.2285,47.5213
70,210.5000,20.5000,-126.7758,47.8742
70,220.5000,20.5000,-126.2375,47.8820
71,220.5000,10.5000,-126.2285,47.5213
71,230.5000,10.5000,-125.6943,47.5263
71,220.5000,20.5000,-126.2375,47.8820
71,230.5000,20.5000,-125.6997,47.8871
72,230.5000,10.5000,-125.6943,47.5263
72,240.5000,10.5000,-125.1605,47.5285
72,230.5000,20.5000,-125.6997,47.8871
72,240.5000,20.5000,-125.1615,47.8893
73,240.5000,10.5000,-125.1605,47.5285
73,250.5000,10.5000,-124.6262,47.5280
73,240.5000,20.5000,-125.1615,47.8893
73,250.5000,20.5000,-124.6233,47.8888
74,250.5000,10.5000,-124.6262,47.5280
74,260.5000,10.5000,-124.0920,47.5246
74,250.5000,20.5000,-124.6233,47.8888
74,260.5000,20.5000,-124.0853,47.8854
75,260.5000,10.5000,-124.0920,47.5246
75,270.5000,10.5000,-123.5580,47.5186
75,260.5000,20.5000,-124.0853,47.8854
75,270.5000,20.5000,-123.5470,47.8792
76,270.5000,10.5000,-123.5580,47.5186
76,280.5000,10.5000,-123.0243,47.5097
76,270.5000,20.5000,-123.5470,47.8792
76,280.5000,20.5000,-123.0090,47.8704
77,280.5000,10.5000,-123.0243,47.5097
77,290.5000,10.5000,-122.4907,47.4981
