filename,year,month,domain,tile,I0,J0,I1,J1,lat0,lon0,lat1,lon1,url
x002y002x011y011.201901.10x10.d02.m3d,2019,1,d02,0,2,2,11,11,47.11610031,-134.4557037,47.49229813,-134.0814056,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0000/x002y002x011y011.201901.10x10.d02.m3d
x002y012x011y021.201901.10x10.d02.m3d,2019,1,d02,1,2,12,11,21,47.46590042,-134.5576935,47.84280014,-134.1813049,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0001/x002y012x011y021.201901.10x10.d02.m3d
x002y022x011y031.201901.10x10.d02.m3d,2019,1,d02,2,2,22,11,31,47.8158989,-134.6611938,48.19340134,-134.2828064,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0002/x002y022x011y031.201901.10x10.d02.m3d
x002y032x011y041.201901.10x10.d02.m3d,2019,1,d02,3,2,32,11,41,48.16600037,-134.7662964,48.5442009,-134.3858948,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0003/x002y032x011y041.201901.10x10.d02.m3d
x002y042x011y051.201901.10x10.d02.m3d,2019,1,d02,4,2,42,11,51,48.5163002,-134.8728943,48.89509964,-134.4904938,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0004/x002y042x011y051.201901.10x10.d02.m3d
x002y052x011y061.201901.10x10.d02.m3d,2019,1,d02,5,2,52,11,61,48.86669922,-134.9812012,49.24610138,-134.5966949,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0005/x002y052x011y061.201901.10x10.d02.m3d
x002y062x011y071.201901.10x10.d02.m3d,2019,1,d02,6,2,62,11,71,49.21720123,-135.091095,49.59719849,-134.7046051,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0006/x002y062x011y071.201901.10x10.d02.m3d
x002y072x011y081.201901.10x10.d02.m3d,2019,1,d02,7,2,72,11,81,49.56779861,-135.2028046,49.94839859,-134.8141937,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0007/x002y072x011y081.201901.10x10.d02.m3d
x002y082x011y091.201901.10x10.d02.m3d,2019,1,d02,8,2,82,11,91,49.91839981,-135.3161926,50.29970169,-134.9255066,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0008/x002y082x011y091.201901.10x10.d02.m3d
x002y092x011y101.201901.10x10.d02.m3d,2019,1,d02,9,2,92,11,101,50.26919937,-135.4313965,50.65100098,-135.0386047,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0009/x002y092x011y101.201901.10x10.d02.m3d
x002y102x011y111.201901.10x10.d02.m3d,2019,1,d02,10,2,102,11,111,50.61999893,-135.5484009,51.00239944,-135.1533966,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0010/x002y102x011y111.201901.10x10.d02.m3d
x002y112x011y121.201901.10x10.d02.m3d,2019,1,d02,11,2,112,11,121,50.97079849,-135.6672058,51.35380173,-135.2702026,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0011/x002y112x011y121.201901.10x10.d02.m3d
x002y122x011y131.201901.10x10.d02.m3d,2019,1,d02,12,2,122,11,131,51.32160187,-135.7879944,51.70529938,-135.3887939,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0012/x002y122x011y131.201901.10x10.d02.m3d
x002y132x011y141.201901.10x10.d02.m3d,2019,1,d02,13,2,132,11,141,51.67250061,-135.9107056,52.05670166,-135.5093994,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0013/x002y132x011y141.201901.10x10.d02.m3d
x002y142x011y151.201901.10x10.d02.m3d,2019,1,d02,14,2,142,11,151,52.02330017,-136.0355072,52.40810013,-135.631897,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0014/x002y142x011y151.201901.10x10.d02.m3d
x002y152x011y161.201901.10x10.d02.m3d,2019,1,d02,15,2,152,11,161,52.37409973,-136.1622925,52.75939941,-135.7565002,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0015/x002y152x011y161.201901.10x10.d02.m3d
x002y162x011y171.201901.10x10.d02.m3d,2019,1,d02,16,2,162,11,171,52.72489929,-136.2911987,53.1108017,-135.883194,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0016/x002y162x011y171.201901.10x10.d02.m3d
x002y172x011y181.201901.10x10.d02.m3d,2019,1,d02,17,2,172,11,181,53.07559967,-136.4221954,53.4620018,-136.0119934,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0017/x002y172x011y181.201901.10x10.d02.m3d
x002y182x011y191.201901.10x10.d02.m3d,2019,1,d02,18,2,182,11,191,53.42620087,-136.5554962,53.8132019,-136.1430969,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0018/x002y182x011y191.201901.10x10.d02.m3d
x002y192x011y201.201901.10x10.d02.m3d,2019,1,d02,19,2,192,11,201,53.77679825,-136.6909943,54.16419983,-136.2763062,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0019/x002y192x011y201.201901.10x10.d02.m3d
x002y202x011y211.201901.10x10.d02.m3d,2019,1,d02,20,2,202,11,211,54.12720108,-136.8289032,54.51520157,-136.4118958,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0020/x002y202x011y211.201901.10x10.d02.m3d
x002y212x011y221.201901.10x10.d02.m3d,2019,1,d02,21,2,212,11,221,54.4776001,-136.969101,54.86600113,-136.5498962,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0021/x002y212x011y221.201901.10x10.d02.m3d
x002y222x011y231.201901.10x10.d02.m3d,2019,1,d02,22,2,222,11,231,54.82770157,-137.1118011,55.21670151,-136.6903076,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0022/x002y222x011y231.201901.10x10.d02.m3d
x002y232x011y241.201901.10x10.d02.m3d,2019,1,d02,23,2,232,11,241,55.17770004,-137.2570038,55.56719971,-136.8332062,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0023/x002y232x011y241.201901.10x10.d02.m3d
x002y242x011y251.201901.10x10.d02.m3d,2019,1,d02,24,2,242,11,251,55.52759933,-137.4048004,55.91749954,-136.9786072,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0024/x002y242x011y251.201901.10x10.d02.m3d
x002y252x011y261.201901.10x10.d02.m3d,2019,1,d02,25,2,252,11,261,55.87720108,-137.5552063,56.2677002,-137.1266022,https://nrs.objectstore.gov.bc.ca/wrfdel/calpuff/3ddat/201901/d02/0025/x002y252x011y261.201901.10x10.d02.m3d
